id,name,mark,feetype
200086,可乐宝宝,我是可乐宝宝，黑白灰灰滴可乐哈哈,1
200087,一字开花,字字开花，满山遍野都是花，我们一起去郊游可好？？？,1
200088,动态叹词聊天字,动态感叹词聊天字体，不同的聊效！,1
200089,小马宝莉动态篇,我永远只爱小呆,1
200090,浣熊土豆第一窝,我是爱吃土豆的浣熊，擅长卖萌，耍帅，装怪,1
200091,呆哞哞,我是呆呆的哞哞，没事就爱发呆,1
200092,哈咪猫萌萌哒,可爱的哈咪猫来啦,1
200093,人脸熊猫,这熊猫来了，同样的配方，全新的味道，喜欢你用起来。,1
200094,大白第二弹,甜萌大白又来啦！,1
200095,动态聊天字,彩色动态聊天字，不一样的聊效！,1
200097,白小嘟,你的小可爱来了，喜欢你用起来。,1
200098,闪电君,闪电妹的男朋友,1
200099,你的小老公,帅帅的我，你喜欢吗,1
200100,玫瑰花开情侣篇二,玫瑰集爱与美于一身。,1
200101,咸鱼吃鸡IIs手势,无兄弟不吃鸡，无手势不开黑，看我手势行事，集合！冲啊突突突！,1
200102,一只傲娇猫第五弹,最近有点丧,1
200103,芒果鸡,来自水果星球的外星鸡,1
200105,七夕快乐表白字,七夕快乐，爱你一辈子，愿意嫁给我吗？,1
200106,肥喵阿刁第一弹,肥喵阿刁日常,1
200108,歪瓜出品,脑洞大开的造物先行者来啦！我们的口号是：没有最贱，只有更贱！走过路过不要错过！,1
200109,小白馒头动态版,一只活蹦乱跳的小馒头，最大的优点就是白…,1
200111,阿汤七夕特辑,小汤圆阿汤迎来了七夕情人节，让我们一起和阿汤秀恩爱吧！,1
200113,骚骚的可喜桃,典型的金刚芭比，崇拜肌肉，内心却是个粉红小公主，每天都要敷面膜。,1
200114,恶搞贴图,各种小头饰一起贴贴贴,1
200115,守护者计划,拒绝网络传销，守护亲友幸福,1
200116,阿哩个猪日常篇,啦啦啦，啦啦啦，我是超级可爱的小猪猪,1
200118,陕西碎娃第二弹,陕西碎娃又来啦,1
200119,陕西碎娃,一个来自陕西的碎娃,1
200120,巴嘎和巴哩,本店新出招牌小章鱼：红烧巴嘎头，黄焖巴哩饭。,1
200122,税友萌小蚁,税友萌小蚁,1
200123,雪雪兔,我来自雪雪兔家族，软萌易推倒，喜欢我，给胡萝卜，pick me,1
200124,薄荷兔第五季,清新甜甜的我，软萌驾到！,1
200125,情侣日常吵架语句,确定过眼神是要吵架的,1
200126,龙小小日常,来啊，快活啊，反正有大把时光,1
200127,咸鱼吃鸡包II刺激,快来绝地一起吃鸡啦，超刺激，突突突！,1
200128,女装妹表情包,女装妹妹从没少过麻烦半官方表情包,1
200129,米柯懵逼style,又萌又搞怪的米柯MBE风格来啦,1
200130,星光表情包第一弹,彩虹小马表情包之星光熠熠第一弹,1
200132,Menhera chan,Menhera chan，是Visionet画师创作的LINE表情包及其衍生作品中的登场角色,1
200133,猫与熊之无聊,无聊小N时一位非常搞笑的小猫,1
200134,气泡兔铅笔优化版,气泡兔手绘版本，一帧一帧以铅笔模式绘制，希望各位喜欢。,1
200135,情侣密话斗图,表情好，还是要聊天有趣,1
200138,冷美人久静日常篇,充满神秘感的小久静，日常生活中也是一个冷美人,1
200139,虚拟偶像翼第二弹,"虚拟偶像翼第二弹表情包希望大家喜欢。
SuperV虚拟偶像翼诞生于时空交错中，是一位元气满满的岁少年。",1
200140,宝尼陪你,宝尼是一只来自西玛星球的外星独角兽，他对地球的一切充满好奇，调皮又可爱的他。期待你把他领回家。,1
200141,薄荷兔第六季,清甜的风舒适得吹着，有你在，真好呀,1
200142,斑马君夏日必备,斑马君陪你过夏天。,1
200143,小撸娘,我是萌萌哒小撸娘，带走。我除了会卖萌还很乖巧哦。,1
200144,小竹篙第二弹,Hello，大家好！我是小竹篙，这次我将以活泼可爱的萌样出现在你们的面前，期待吧,1
200145,低糖情侣,低糖健康，细水长流,1
200146,猪先森,萌萌的小猪，希望大家喜欢,1
200147,小汤圆之日常篇,小汤圆之日常行为守则第一弹,1
200148,弹跳大字,有趣的弹跳大字,1
200149,小六六与八妹,【丸子联萌】的小六六和八妹表情包又来啦，快来一起玩吧！,1
200150,吉祥如意,诸事皆宜,1
200151,郑彬彬日常第一弹,郑彬彬最喜欢的外号是夜礼服假面，因为和水彬月是CP,1
200152,红发少女的实用篇,腹黑搞笑又贱萌的红发少女 怎么会有，这么颜艺的女孩纸,1
200153,菠萝精琳琳第一弹,有一个大嗓门的菠萝精叫琳琳，他总说自己是酷的，但是我们都知道他是公主,1
200154,闪电妹,闪电君的女朋友,1
